TID: [2025-07-24 22:21:29,303]  INFO {org.wso2.config.mapper.ConfigParser} - Initializing configurations with deployment configurations {org.wso2.config.mapper.ConfigParser}
TID: [] [] [2025-07-24 22:21:33,399]  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - Starting WSO2 Carbon...
TID: [] [] [2025-07-24 22:21:33,399]  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - Operating System : Mac OS X 15.5, aarch64
TID: [] [] [2025-07-24 22:21:33,399]  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - Java Home        : /opt/homebrew/Cellar/openjdk@11/11.0.27/libexec/openjdk.jdk/Contents/Home
TID: [] [] [2025-07-24 22:21:33,399]  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - Java Version     : 11.0.27
TID: [] [] [2025-07-24 22:21:33,399]  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - Java VM          : OpenJDK 64-Bit Server VM 11.0.27+0,Homebrew
TID: [] [] [2025-07-24 22:21:33,399]  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - Carbon Home      : /Users/burzumjoy/Downloads/wso2am-4.5.0
TID: [] [] [2025-07-24 22:21:33,399]  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - Java Temp Dir    : /Users/burzumjoy/Downloads/wso2am-4.5.0/tmp
TID: [] [] [2025-07-24 22:21:33,399]  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - User             : burzumjoy, ru-RU, Europe/Minsk
TID: [] [] [2025-07-24 22:21:33,571]  INFO {org.wso2.carbon.crypto.provider.internal.DefaultCryptoProviderComponent} - 'CryptoService.Secret' property has not been set. 'org.wso2.carbon.crypto.provider.SymmetricKeyInternalCryptoProvider' won't be registered as an internal crypto provider. Please set the secret if the provider needs to be registered.
TID: [] [] [2025-07-24 22:21:33,734]  INFO {org.wso2.carbon.event.output.adapter.kafka.internal.ds.KafkaEventAdapterServiceDS} - Successfully deployed the Kafka output event adaptor service
TID: [] [] [2025-07-24 22:21:34,801]  INFO {org.wso2.carbon.apimgt.eventing.hub.internal.ServiceComponent} - Eventing Hub ServiceComponent is activated
TID: [] [] [2025-07-24 22:21:35,090]  WARN {org.apache.tomcat.util.digester.Digester} - Match [Server/Service/Engine/Host/Valve] failed to set property [maxDays] to []
TID: [] [] [2025-07-24 22:21:35,416]  INFO {org.wso2.carbon.consent.mgt.core.internal.ConsentManagerComponent} - ConsentManagerComponent is activated.
TID: [] [] [2025-07-24 22:21:35,511]  INFO {org.wso2.carbon.databridge.receiver.binary.internal.BinaryDataReceiverServiceComponent} - Binary Data Receiver server activated
TID: [] [] [2025-07-24 22:21:35,517]  INFO {org.wso2.carbon.databridge.core.internal.DataBridgeDS} - Successfully deployed Agent Server 
TID: [] [] [2025-07-24 22:21:35,760]  INFO {org.wso2.carbon.registry.core.jdbc.EmbeddedRegistryService} - Configured Registry in 40ms
TID: [] [] [2025-07-24 22:21:35,790]  INFO {org.wso2.carbon.registry.core.jdbc.EmbeddedRegistryService} - Connected to mount at configregistry in 2ms
TID: [] [] [2025-07-24 22:21:35,790]  INFO {org.wso2.carbon.registry.core.jdbc.EmbeddedRegistryService} - Connected to mount at govregistry in 2ms
TID: [] [] [2025-07-24 22:21:35,812]  INFO {org.wso2.carbon.registry.core.jdbc.EmbeddedRegistryService} - Connected to mount at configregistry in 0ms
TID: [] [] [2025-07-24 22:21:35,812]  INFO {org.wso2.carbon.registry.core.jdbc.EmbeddedRegistryService} - Connected to mount at govregistry in 0ms
TID: [] [] [2025-07-24 22:21:35,891]  INFO {org.wso2.carbon.registry.core.internal.RegistryCoreServiceComponent} - Registry Mode    : READ-WRITE
TID: [] [] [2025-07-24 22:21:36,066]  INFO {org.wso2.carbon.metrics.impl.util.JmxReporterBuilder} - Creating JMX reporter for Metrics with domain 'org.wso2.carbon.metrics'
TID: [] [] [2025-07-24 22:21:36,067]  INFO {org.wso2.carbon.metrics.impl.reporter.AbstractReporter} - Started JMX reporter for Metrics
TID: [] [] [2025-07-24 22:21:37,505]  INFO {org.wso2.carbon.registry.indexing.solr.SolrClient} - Default Embedded Solr Server Initialized
TID: [] [] [2025-07-24 22:21:37,584]  INFO {org.wso2.carbon.user.core.internal.UserStoreMgtDSComponent} - Carbon UserStoreMgtDSComponent activated successfully.
TID: [] [] [2025-07-24 22:21:38,500]  INFO {org.wso2.carbon.identity.user.store.configuration.deployer.UserStoreConfigurationDeployer} - User Store Configuration Deployer initiated.
TID: [] [] [2025-07-24 22:21:38,500]  INFO {org.wso2.carbon.identity.user.store.configuration.deployer.UserStoreConfigurationDeployer} - User Store Configuration Deployer initiated.
TID: [] [] [2025-07-24 22:21:38,549]  INFO {org.wso2.carbon.websocket.transport.WebsocketTransportSender} - WSS Sender started
